date,value
5/26/2021,110.8916
5/27/2021,110.8973
5/28/2021,110.7905
5/31/2021,.
6/1/2021,110.5378
6/2/2021,110.616
6/3/2021,111.2199
6/4/2021,110.7899
6/7/2021,110.5559
6/8/2021,110.6914
6/9/2021,110.6149
6/10/2021,110.5895
6/11/2021,111.1327
6/14/2021,111.0083
6/15/2021,111.3845
6/16/2021,111.1528
6/17/2021,112.6104
6/18/2021,113.0684
6/21/2021,112.8643
6/22/2021,112.9452
6/23/2021,112.4198
6/24/2021,112.3723
6/25/2021,112.0183
6/28/2021,112.0757
6/29/2021,112.3115
6/30/2021,112.6067
7/1/2021,112.7911
7/2/2021,112.5964
7/5/2021,.
7/6/2021,112.9925
7/7/2021,113.1391
7/8/2021,113.1043
7/9/2021,112.8679
7/12/2021,112.7943
7/13/2021,113.0386
7/14/2021,112.9126
7/15/2021,113.0353
7/16/2021,113.0775
7/19/2021,113.568
7/20/2021,113.7758
7/21/2021,113.4199
7/22/2021,113.4956
7/23/2021,113.472
7/26/2021,113.2498
7/27/2021,113.2446
7/28/2021,113.206
7/29/2021,112.5096
7/30/2021,112.6979
8/2/2021,112.6922
8/3/2021,112.8405
8/4/2021,112.914
8/5/2021,112.7909
8/6/2021,113.3323
8/9/2021,113.4754
8/10/2021,113.5259
8/11/2021,113.3137
8/12/2021,113.3048
8/13/2021,113.0913
8/16/2021,113.1924
8/17/2021,113.642
8/18/2021,113.723
8/19/2021,114.1303
8/20/2021,114.5137
8/23/2021,113.957
8/24/2021,113.6984
8/25/2021,113.6543
8/26/2021,113.8091
8/27/2021,113.3661
8/30/2021,113.2793
8/31/2021,113.1485
9/1/2021,112.9137
9/2/2021,112.8259
9/3/2021,112.5855
9/6/2021,.
9/7/2021,113.0161
9/8/2021,113.2648
9/9/2021,113.0709
9/10/2021,112.975
9/13/2021,113.0678
9/14/2021,113.0354
9/15/2021,113.0079
9/16/2021,113.3379
9/17/2021,113.6335
9/20/2021,113.9661
9/21/2021,113.844
9/22/2021,113.6522
9/23/2021,113.5469
9/24/2021,113.795
9/27/2021,113.7791
9/28/2021,114.2787
9/29/2021,114.7447
9/30/2021,114.6718
10/1/2021,114.4094
10/4/2021,114.2983
10/5/2021,114.3892
10/6/2021,114.7402
10/7/2021,114.5291
10/8/2021,114.6203
10/11/2021,.
10/12/2021,114.7851
10/13/2021,114.5015
10/14/2021,114.2395
10/15/2021,114.1309
10/18/2021,114.0304
10/19/2021,113.6874
10/20/2021,113.5511
10/21/2021,113.6538
10/22/2021,113.706
10/25/2021,113.6464
10/26/2021,113.7197
10/27/2021,113.6649
10/28/2021,113.4735
10/29/2021,114.1716
11/1/2021,114.2349
11/2/2021,114.3152
11/3/2021,114.3866
11/4/2021,114.3904
11/5/2021,114.1159
11/8/2021,113.8681
11/9/2021,113.8072
11/10/2021,114.1996
11/11/2021,.
11/12/2021,114.5627
11/15/2021,114.6352
11/16/2021,115.1843
11/17/2021,115.0723
11/18/2021,115.107
11/19/2021,115.2562
11/22/2021,115.6896
11/23/2021,116.0464
11/24/2021,116.3081
11/25/2021,.
11/26/2021,116.5112
11/29/2021,116.5858
11/30/2021,116.2178
12/1/2021,115.8992
12/2/2021,116.0314
12/3/2021,116.2445
12/6/2021,116.1674
12/7/2021,115.8815
12/8/2021,115.4694
12/9/2021,115.8058
12/10/2021,115.5967
12/13/2021,115.8625
12/14/2021,116.2524
12/15/2021,116.4299
12/16/2021,115.7307
12/17/2021,115.8123
12/20/2021,116.0211
12/21/2021,116.1256
12/22/2021,115.7657
12/23/2021,115.5575
12/24/2021,.
12/27/2021,115.4964
12/28/2021,115.4497
12/29/2021,115.3964
12/30/2021,115.3163
12/31/2021,.
1/3/2022,115.4344
1/4/2022,115.3509
1/5/2022,115.1831
1/6/2022,115.451
1/7/2022,115.0949
1/10/2022,115.2634
1/11/2022,114.889
1/12/2022,114.4078
1/13/2022,114.2313
1/14/2022,114.4295
1/17/2022,.
1/18/2022,114.7828
1/19/2022,114.6541
1/20/2022,114.5125
1/21/2022,114.6534
1/24/2022,115.2276
1/25/2022,115.1907
1/26/2022,115.1264
1/27/2022,116.0127
1/28/2022,116.0637
1/31/2022,115.611
2/1/2022,115.4098
